Date,Santander,BBVA,Telefonica,Inditex,Repsol,ACS,Ferrovial,Grifols,IAG,Amadeus
2017-01-31,4.853315830230713,6.275000095367432,8.925000190734863,30.53499984741211,13.65999984741211,28.15264320373535,16.75,19.81999969482422,3.679550886154175,42.744998931884766
2017-02-28,4.858028888702393,6.177999973297119,9.64900016784668,30.31999969482422,14.0,29.284481048583984,17.905000686645508,20.645000457763672,4.164854049682617,43.904998779296875
2017-03-31,5.415091037750244,7.269999980926514,10.484999656677246,33.040000915527344,14.475000381469727,31.528390884399414,18.760000228881836,22.989999771118164,4.1104888916015625,47.560001373291016
2017-04-30,5.643194198608398,7.348999977111816,10.154999732971191,35.209999084472656,14.53499984741211,33.638851165771484,19.53499984741211,24.655000686645508,4.414134979248047,49.5
2017-05-31,5.449024200439453,7.251999855041504,9.913999557495117,36.39500045776367,14.914999961853027,35.15620422363281,20.05500030517578,25.190000534057617,4.600432872772217,51.849998474121094
2017-06-30,5.459392070770264,7.264999866485596,9.038000106811523,33.61000061035156,13.399999618530273,33.43620681762695,19.434999465942383,24.385000228881836,4.607062816619873,52.349998474121094
2017-07-31,5.53341817855835,7.651000022888184,9.5600004196167,33.59000015258789,14.15999984741211,32.05229949951172,18.2450008392334,23.7549991607666,4.283527851104736,52.060001373291016
2017-08-31,5.231542110443115,7.421999931335449,9.059000015258789,31.915000915527344,14.430000305175781,31.394941329956055,19.145000457763672,23.75,4.406843185424805,52.06999969482422
2017-09-30,5.6608757972717285,7.560999870300293,9.192000389099121,31.885000228881836,15.59000015258789,30.994596481323242,18.625,24.649999618530273,4.468500137329102,54.9900016784668
2017-10-31,5.580376148223877,7.513000011444092,9.005999565124512,32.095001220703125,16.084999084472656,33.46586227416992,18.649999618530273,26.875,4.806621074676514,58.25
2017-11-30,5.407876014709473,7.182000160217285,8.604999542236328,29.739999771118164,15.420000076293945,32.126434326171875,18.4950008392334,24.510000228881836,4.605073928833008,60.56999969482422
2017-12-31,5.250709056854248,7.111999988555908,8.125,29.045000076293945,14.744999885559082,32.24505615234375,18.924999237060547,24.424999237060547,4.797338962554932,60.11000061035156
